,LGA_NAME,ACCIDENT_Year,Amount
2,(FALLS CREEK),2014,4
3,(FALLS CREEK),2015,1
4,(FALLS CREEK),2016,1
5,(FALLS CREEK),2017,2
6,(FALLS CREEK),2018,4
7,(FRENCH ISLAND),2017,1
8,(LAKE MOUNTAIN),2014,1
9,(LAKE MOUNTAIN),2015,2
10,(LAKE MOUNTAIN),2016,4
11,(LAKE MOUNTAIN),2017,1
12,(LAKE MOUNTAIN),2018,3
13,(MOUNT BAW BAW),2014,1
14,(MOUNT BAW BAW),2015,1
15,(MOUNT BAW BAW),2016,2
16,(MOUNT BULLER),2015,4
17,(MOUNT BULLER),2016,2
18,(MOUNT BULLER),2017,1
19,(MOUNT BULLER),2018,2
20,(MOUNT HOTHAM),2014,4
21,(MOUNT HOTHAM),2015,5
22,(MOUNT HOTHAM),2016,4
23,(MOUNT HOTHAM),2017,5
24,(MOUNT HOTHAM),2018,3
25,(MOUNT STIRLING),2017,1
26,ALPINE,2014,63
27,ALPINE,2015,49
28,ALPINE,2016,44
29,ALPINE,2017,37
30,ALPINE,2018,39
31,ARARAT,2014,28
32,ARARAT,2015,42
33,ARARAT,2016,30
34,ARARAT,2017,33
35,ARARAT,2018,21
36,BALLARAT,2014,244
37,BALLARAT,2015,253
38,BALLARAT,2016,238
39,BALLARAT,2017,229
40,BALLARAT,2018,209
41,BANYULE,2014,195
42,BANYULE,2015,185
43,BANYULE,2016,215
44,BANYULE,2017,190
45,BANYULE,2018,186
46,BASS COAST,2014,69
47,BASS COAST,2015,75
48,BASS COAST,2016,86
49,BASS COAST,2017,62
50,BASS COAST,2018,56
51,BAW BAW,2014,194
52,BAW BAW,2015,170
53,BAW BAW,2016,181
54,BAW BAW,2017,137
55,BAW BAW,2018,117
56,BAYSIDE,2014,157
57,BAYSIDE,2015,163
58,BAYSIDE,2016,188
59,BAYSIDE,2017,179
60,BAYSIDE,2018,119
61,BENALLA,2014,36
62,BENALLA,2015,47
63,BENALLA,2016,43
64,BENALLA,2017,39
65,BENALLA,2018,26
66,BENDIGO,2014,245
67,BENDIGO,2015,309
68,BENDIGO,2016,289
69,BENDIGO,2017,252
70,BENDIGO,2018,200
71,BOROONDARA,2014,367
72,BOROONDARA,2015,306
73,BOROONDARA,2016,284
74,BOROONDARA,2017,269
75,BOROONDARA,2018,246
76,BRIMBANK,2014,463
77,BRIMBANK,2015,426
78,BRIMBANK,2016,425
79,BRIMBANK,2017,344
80,BRIMBANK,2018,340
81,BULOKE,2014,20
82,BULOKE,2015,16
83,BULOKE,2016,21
84,BULOKE,2017,17
85,BULOKE,2018,12
86,CAMPASPE,2014,94
87,CAMPASPE,2015,89
88,CAMPASPE,2016,89
89,CAMPASPE,2017,89
90,CAMPASPE,2018,64
91,CARDINIA,2014,204
92,CARDINIA,2015,224
93,CARDINIA,2016,225
94,CARDINIA,2017,188
95,CARDINIA,2018,170
96,CASEY,2014,516
97,CASEY,2015,582
98,CASEY,2016,599
99,CASEY,2017,476
100,CASEY,2018,458
101,CENTRAL GOLDFIELDS,2014,28
102,CENTRAL GOLDFIELDS,2015,22
103,CENTRAL GOLDFIELDS,2016,26
104,CENTRAL GOLDFIELDS,2017,25
105,CENTRAL GOLDFIELDS,2018,24
106,COLAC OTWAY,2014,96
107,COLAC OTWAY,2015,91
108,COLAC OTWAY,2016,99
109,COLAC OTWAY,2017,108
110,COLAC OTWAY,2018,94
111,CORANGAMITE,2014,48
112,CORANGAMITE,2015,47
113,CORANGAMITE,2016,58
114,CORANGAMITE,2017,55
115,CORANGAMITE,2018,31
116,DANDENONG,2014,471
117,DANDENONG,2015,501
118,DANDENONG,2016,523
119,DANDENONG,2017,403
120,DANDENONG,2018,349
121,DAREBIN,2014,329
122,DAREBIN,2015,355
123,DAREBIN,2016,333
